Date,Open,High,Low,Close,Adj Close,Volume
2024-02-07,38.540001,39.119999,38.099998,38.720001,38.504074,19093800
2024-02-08,38.840000,38.939999,38.419998,38.650002,38.434464,15864500
2024-02-09,38.619999,38.980000,38.450001,38.560001,38.344963,13066000
2024-02-12,38.540001,39.529999,38.509998,39.279999,39.060944,18113100
2024-02-13,38.799999,38.939999,37.830002,38.310001,38.096355,18979000
2024-02-14,38.580002,38.750000,38.049999,38.369999,38.156021,13278500
2024-02-15,38.669998,39.509998,38.639999,38.990002,38.772564,15688600
2024-02-16,38.799999,39.060001,38.619999,38.700001,38.484180,12392900
2024-02-20,38.349998,39.169998,38.130001,39.009998,38.792454,16971300
2024-02-21,38.959999,39.820000,38.959999,39.490002,39.269779,15987800
2024-02-22,39.549999,39.799999,39.160000,39.340000,39.120613,11458100
2024-02-23,39.360001,39.950001,39.320000,39.630001,39.408997,15194400
2024-02-26,39.639999,40.730000,39.599998,39.790001,39.568104,16610200
2024-02-27,40.230000,40.599998,39.849998,40.180000,39.955929,11507700
2024-02-28,40.060001,41.080002,40.049999,40.630001,40.403419,15697500
2024-02-29,40.770000,41.340000,40.639999,40.980000,40.872181,18005200
2024-03-01,40.810001,41.799999,40.400002,40.990002,40.882156,13074600
2024-03-04,41.000000,41.520000,40.759998,40.930000,40.822311,14703100
2024-03-05,40.700001,40.889999,40.130001,40.650002,40.543053,18913500
2024-03-06,40.650002,40.740002,39.830002,40.150002,40.044365,15511200
2024-03-07,40.169998,40.320000,39.259998,39.349998,39.246468,15428000
2024-03-08,39.349998,40.150002,39.310001,39.500000,39.396076,12917900
2024-03-11,39.279999,39.810001,39.220001,39.529999,39.425995,11659100
2024-03-12,39.580002,39.619999,38.959999,39.209999,39.106838,19442500
2024-03-13,39.459999,40.470001,39.340000,40.259998,40.154076,19081300
2024-03-14,40.180000,40.340000,38.950001,39.380001,39.276390,18012900
2024-03-15,39.270000,40.820000,39.270000,40.689999,40.582943,82750500
2024-03-18,40.889999,40.919998,40.330002,40.820000,40.712601,16126600
2024-03-19,40.919998,41.680000,40.720001,41.509998,41.400784,15936400
2024-03-20,41.419998,42.889999,41.360001,42.849998,42.737259,16909300
2024-03-21,42.919998,43.590000,42.840000,43.419998,43.305759,15268300
2024-03-22,43.299999,43.660000,43.000000,43.060001,42.946709,9387400
2024-03-25,43.060001,43.959999,43.060001,43.549999,43.435417,14644700
2024-03-26,43.689999,44.570000,43.430000,44.000000,43.884235,15961300
